strategy,day,issue,candidate,score,status,residual,objective
A43_adjust_only,32,1,keep,363.71918428344435,0,0,0
A43_adjust_only,32,1,0.5,3647.2448953110593,0,9.094947017729282e-13,-1948.6750655525973
A43_adjust_only,32,1,0.65,674.0395230170684,0,9.094947017729282e-13,-1157.910262775643
A43_adjust_only,32,1,0.9,3831.2522988320375,0,9.094947017729282e-13,3798.078850715994
A43_adjust_only,32,2,keep,14.573357398037446,0,0,0
A43_adjust_only,32,2,0.5,1547.4599115038318,0,1.1368683772161603e-13,-2006.8022349843511
A43_adjust_only,32,2,0.65,-505.0698872356202,0,1.1368683772161603e-13,-1465.501962304765
A43_adjust_only,32,2,0.8,-659.0934292942139,0,1.1368683772161603e-13,-688.342089213197
A43_adjust_only,32,2,0.9,1018.5744201184469,0,9.094947017729282e-13,1012.6254885625136
A43_adjust_only,32,3,keep,12.190526804183834,0,0,0
A43_adjust_only,32,3,0.5,167.68780234901027,0,0.0,-325.2844075113879
A43_adjust_only,32,3,0.65,-64.67905614836499,0,0.0,-170.76333451332852
A43_adjust_only,32,3,0.9,519.3826547805171,0,9.094947017729282e-13,518.7223345760603
