日期,时段结束,实际净负荷_kW,q20_kW,q50_kW,q65_kW,q80_kW,q90_kW
2025-11-05,24:00,3203.62,3447.1326939806627,3475.1525840075574,3485.688591416726,3560.962778616287,3573.7790036377505
2025-11-06,00:10,3315.0687,3275.4431787598182,3456.7511368083924,3497.5747132003926,3534.759264513959,3663.142680397838
2025-11-06,00:20,3417.619,3175.7728798441062,3370.5017021982485,3370.79357726578,3410.650024763058,3417.9093014721075
2025-11-06,00:30,3490.15,3150.523451737568,3341.4024144670548,3357.995144747204,3421.9255711415494,3440.5980034532326
2025-11-06,00:40,3543.195,3299.4479545747527,3463.752475829936,3525.1310677835536,3562.934637421074,3653.7495232553815
2025-11-06,00:50,3482.4021,3319.3031022279447,3468.883389864265,3523.9553049447973,3532.2198917217984,3640.7089974213445
2025-11-06,01:00,3392.32,3280.489528771879,3472.7966030513526,3546.1266097928706,3569.8351164636097,3668.2628312268857
2025-11-06,01:10,3461.2324,3287.2610957303236,3476.62055009729,3540.116438359495,3557.12973183713,3661.1284345003173
2025-11-06,01:20,3483.452,3353.5017921919093,3491.396138912927,3549.7689815131307,3593.182969397362,3676.133634138314
2025-11-06,01:30,3476.03,3396.9697420903467,3571.847138484979,3605.8879343435015,3667.7248973460546,3742.0059928545807
2025-11-06,01:40,3648.5087,3404.4111015095878,3514.4336367484348,3589.3364133869195,3650.9716954539576,3703.5872163260897
2025-11-06,01:50,3701.5232,3416.641479641092,3514.4336367484348,3631.676449315712,3641.8343098366054,3693.3823191045394
2025-11-06,02:00,3548.48,3423.868752486945,3530.7822486957366,3611.3831583949577,3650.9269948563638,3743.0290159106685
2025-11-06,02:10,3424.2967,3484.885792049005,3611.5302578406236,3705.4039897895946,3752.4736535384513,3844.166984671318
2025-11-06,02:20,3467.5146,3515.09515436642,3630.065030080992,3740.9441154608794,3803.2854088683603,3875.798605664571
2025-11-06,02:30,3602.09,3504.2478187409597,3637.250243603099,3679.213557895611,3693.78063203248,3755.4815763845977
2025-11-06,02:40,3641.286,3399.7587790417742,3553.2267299074792,3626.1621715158317,3678.5547107227776,3726.1383396701253
2025-11-06,02:50,3694.3408,3447.4357048644374,3585.186150101905,3635.347825192618,3690.1447185728025,3747.2706135885805
2025-11-06,03:00,3761.92,3506.561163442493,3647.722953139999,3687.0021394679798,3712.8832085889853,3763.1479891593485
2025-11-06,03:10,3694.6404,3485.4196504524953,3626.581440150001,3663.4071697536647,3691.7416955989875,3743.8343352307857
2025-11-06,03:20,3489.9511,3473.5891141188367,3624.7669830295845,3658.9911049893317,3681.8873808648223,3732.3796892615696
2025-11-06,03:30,3378.71,3486.319809073841,3624.7669830295845,3661.7057207310936,3684.601996606584,3729.5998077270096
2025-11-06,03:40,3609.0147,3496.91923247158,3634.424915071947,3720.257887035639,3751.8279470008383,3804.006904089548
2025-11-06,03:50,3740.2715,3519.774099652772,3638.3192564200554,3739.3087889624167,3753.961008238579,3828.2796062408916
